Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
ebay,1,1,30400000,100,0.85,https://www.ebay.com/,24320000,15.84,20672000,0.01,100,"100,82,100,100,100,100,82,100,82,82,82,82",26/09/2021,"Knowledge panel, Top stories, Site links, Reviews, Tweet, FAQ"
ebay motors,1,1,1500000,87,0.47,https://www.ebay.com/b/Auto-Parts-and-Vehicles/6000/bn_1865334,1200000,0.78,564000,0.02,224000000,"100,100,100,100,100,100,81,81,81,81,81,81",26/09/2021,"Site links, Reviews, Video, People also ask"
ebay com,1,1,673000,100,0.77,https://www.ebay.com/,538400,0.35,414568,0.02,65,"100,100,100,100,100,100,82,100,82,82,82,82",26/09/2021,"Knowledge panel, Site links, Reviews, Tweet"
ebay login,1,1,450000,99,0.79,https://www.ebay.com/logout/confirm,360000,0.23,284400,0.01,622000000,"37,67,67,67,100,100,82,100,82,82,82,82",26/09/2021,"Site links, Reviews, Video"
my ebay,1,1,368000,75,1.52,https://www.ebay.com/myb/Summary?MyEbay,294400,0.19,447488,0.01,95,"82,82,82,67,100,100,82,82,67,67,55,67",26/09/2021,"Site links, Reviews, Video, FAQ"
ebay usa,1,1,368000,93,0.43,https://www.ebay.com/,294400,0.19,126592,0.03,461000000,"82,82,82,82,67,67,67,100,100,82,82,82",26/09/2021,"Site links, Reviews, Tweet, Video, FAQ"
traductor,13,19,16600000,89,0.27,https://pr.ebay.com/b/Electronic-Translators/94861/bn_1519920,149400,0.09,40338,0,67600000,"100,100,100,100,82,100,100,100,100,100,100,100",26/09/2021,"Instant answer, Reviews, Video"
www ebay com,1,1,165000,94,0.94,https://www.ebay.com/,132000,0.08,124080,0.01,48,"100,82,82,82,82,82,82,82,82,67,67,67",26/09/2021,"Knowledge panel, Site links, Reviews"
ebay customer service,1,1,135000,81,0.97,https://www.ebay.com/help/home,108000,0.07,104760,0.19,16,"67,82,67,67,100,82,67,82,67,67,67,67",26/09/2021,"Site links, People also ask"
golf carts for sale,1,1,201000,67,0.48,https://www.ebay.com/b/Golf-Carts/181476/bn_16581809,94470,0.06,45345,1,38100000,"100,82,67,55,55,45,45,82,82,100,100,100",26/09/2021,"Local pack, Image pack, Site links, Shopping ads, People also ask, FAQ"
eb,1,1,135000,62,1.03,https://www.ebay.com/,63450,0.04,65353,0,535000000,"81,81,100,100,100,100,81,100,81,81,81,81",26/09/2021,"Site links, Video Carousel, People also ask"
ebay sign in,1,1,60500,92,0.63,https://www.ebay.com/logout/confirm,48400,0.03,30492,0.01,99,"100,82,82,67,82,82,67,67,67,55,55,55",26/09/2021,"Reviews, Video"
ebay for sale,1,1,60500,79,0.96,https://www.ebay.com/b/Everything-Else/99/bn_1864388,48400,0.03,46464,0.97,948000000,"67,67,82,67,82,100,82,67,55,45,45,45",26/09/2021,"Site links, Reviews, Video, FAQ"
ebay customer service number,1,1,60500,74,1.07,https://www.ebay.com/help/home,48400,0.03,51788,0.15,10,"67,55,55,67,67,82,67,100,100,82,100,82",26/09/2021,"Site links, People also ask"
eba,1,1,74000,65,0.04,https://www.ebay.com/,59200,0.03,2368,0.04,33800000,"82,100,100,100,100,100,82,100,82,82,82,82",26/09/2021,"Site links, Reviews, Video Carousel"
ps5 ebay,1,1,74000,51,0.9,https://www.ebay.com/b/Sony-PlayStation-5-Blu-Ray-Edition-Video-Game-Consoles/139971/bn_7117588355,59200,0.03,53280,1,24400000,"0,20,7,100,45,25,16,16,11,11,9,7",26/09/2021,"Site links, Reviews, Shopping ads, Video Carousel, People also ask"
ebay gift card,1,1,60500,87,0.79,https://www.ebay.com/b/eBay-Gift-Cards/172036/bn_7208216,48400,0.03,38236,1,93600000,"67,67,67,67,100,67,55,55,55,55,55,55",26/09/2021,"Image pack, Site links, Reviews, Video, Shopping ads"
ebay seller hub,1,1,40500,65,33.72,https://www.ebay.com/sellerhub,32400,0.02,1092528,0.15,81,"67,67,82,82,100,100,100,100,100,100,100,100",26/09/2021,"Reviews, Video, AdWords top"
ebay app,1,1,40500,76,1.84,https://www.ebay.com/ebay-app-mobile/,32400,0.02,59616,0.25,97,"100,67,67,55,67,67,45,55,55,55,55,55",26/09/2021,"Reviews, Video, People also ask"
ebay motors,2,2,1500000,87,0.47,https://www.ebay.com/b/Auto-Parts-Accessories/6028/bn_569479,39000,0.02,18330,0.02,224000000,"100,100,100,100,100,100,81,81,81,81,81,81",26/09/2021,"Site links, Reviews, Video, People also ask"
bath and body works,10,10,7480000,84,0.8,https://www.ebay.com/b/Bath-Body-Works/bn_21820367,44880,0.02,35904,1,354000000,"37,37,37,82,100,37,25,25,25,25,37,30",26/09/2021,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Tweet, Video, AdWords top, People also ask"
bratz dolls,4,4,246000,72,0.49,https://www.ebay.com/b/Bratz-Dolls/36547/bn_16562145,17220,0.01,8437,0.97,18000000,"82,67,100,55,55,55,45,55,55,55,55,67",26/09/2021,"Knowledge panel, Site links, Reviews, Video Carousel, People also ask"
ebay store,1,1,33100,83,2.19,https://www.ebay.com/b/Stores-HUB/bn_7004224522,26480,0.01,57991,0.15,557000000,"100,82,82,67,67,67,55,55,45,45,37,37",26/09/2021,"Site links, Reviews, Video, People also ask, FAQ"
autoparts,12,13,1220000,100,0.87,https://www.ebay.com/b/Auto-Parts-Accessories/6028/bn_569479,15860,0.01,13798,0.13,407000000,"67,82,82,67,55,55,45,55,55,100,67,82",26/09/2021,"Site links, AdWords top"
ebay selling fees,1,1,27100,79,10.62,https://www.ebay.com/help/selling/fees-credits-invoices/selling-fees?id=4364,21680,0.01,230241,0.18,137000000,"82,82,82,100,100,100,82,82,67,67,67,67",26/09/2021,"Site links, Video, AdWords top, AdWords bottom, People also ask, FAQ"
contact ebay,1,1,22200,78,1.19,https://www.ebay.com/help/account/default/contacting-ebay-customer-service?id=4379,17760,0.01,21134,0.12,97,"100,82,82,82,100,100,82,82,82,82,82,67",26/09/2021,"Reviews, Video, People also ask"
ebay motors,4,4,1500000,87,0.47,https://www.ebay.com/b/eBay-Motors-App-V1/bn_7116476159,21000,0.01,9870,0.02,224000000,"100,100,100,100,100,100,81,81,81,81,81,81",26/09/2021,"Site links, Reviews, Video, People also ask"
ebay motors,3,5,1500000,87,0.47,https://www.ebay.com/,27000,0.01,12690,0.02,224000000,"100,100,100,100,100,100,81,81,81,81,81,81",26/09/2021,"Site links, Reviews, Video, People also ask"
chanel slides,1,1,33100,28,0.65,https://www.ebay.com/b/CHANEL-Slide-Sandals-for-Women/62107/bn_751683,15557,0.01,10112,1,99,"100,45,30,24,30,30,45,67,82,82,67,55",26/09/2021,"Image pack, Site links, Reviews, Video, Video Carousel"
how to sell on ebay,1,1,33100,89,2.47,https://pages.ebay.com/seller-center/get-started/selling-basics.html,26480,0.01,65405,0.38,325000000,"100,82,82,82,82,100,82,82,82,82,82,82",26/09/2021,"Site links, Reviews, AdWords bottom, Video Carousel, People also ask"
pixel 2 used,1,1,40500,35,1.71,https://www.ebay.com/b/Google-Pixel-2-Smartphones/9355/bn_87850431,19035,0.01,32549,0.01,870000000,"20,2,2,37,55,55,45,82,100,82,82,82",26/09/2021,"Reviews, Video, FAQ"
retract bid ebay,1,1,27100,50,1.39,https://www.ebay.com/help/buying/bidding/retracting-bid?id=4013,21680,0.01,30135,0,668000,"100,82,100,100,100,100,100,100,100,100,82,82",26/09/2021,Video
ebay online shopping,1,1,22200,76,1.17,https://www.ebay.com/,17760,0.01,20779,0.14,540000000,"82,82,82,100,82,67,67,82,67,55,55,55",26/09/2021,"Knowledge panel, Site links, Reviews, FAQ"
pixel 2 xl panda,1,1,40500,40,0,https://www.ebay.com/p/6012170259,19035,0.01,0,0,4570000,"37,1,2,45,55,55,37,82,82,100,82,100",26/09/2021,"Image pack, Site links, Reviews, Video Carousel, People also ask"
garbage pail kids,9,8,823000,75,0.24,https://www.ebay.com/b/Garbage-Pail-Kids-Collectable-Trading-Cards/183050/bn_3018748,24690,0.01,5925,1,8670000,"2,82,25,67,20,30,45,25,100,45,55,3",26/09/2021,"Top stories, Image pack, Site links, Reviews, Video, Video Carousel, People also ask"
how to cancel a bid on ebay,1,1,22200,53,1,https://www.ebay.com/help/selling/listings/cancelling-bid?id=4140,17760,0.01,17760,0.02,13000000,"100,82,82,100,100,100,82,100,82,82,67,82",26/09/2021,"Video Carousel, People also ask"
food cart,1,1,33100,59,0.79,https://www.ebay.com/b/Food-Trucks-Trailers-Carts/67145/bn_2311099,15557,0.01,12290,0.97,1740000000,"55,45,55,37,37,45,45,67,67,100,82,100",26/09/2021,"Top stories, Image pack, Site links, Reviews, People also ask"
ebay cancel order,1,1,22200,52,0.94,https://www.ebay.com/help/buying/buyers-can-cancel-order/buyers-can-cancel-order?id=4004,17760,0.01,16694,0.01,98,"100,82,82,82,100,100,82,100,100,100,100,100",26/09/2021,"Site links, Video, People also ask"
antique,3,3,246000,82,0.63,https://www.ebay.com/b/Antiques/20081/bn_1851017,22140,0.01,13948,0.05,1470000000,"100,100,100,82,82,82,82,100,82,100,100,100",26/09/2021,"Instant answer, Knowledge panel, Local pack, Top stories, Site links, People also ask"
ebay auto parts,1,1,33100,75,0.64,https://www.ebay.com/b/Auto-Parts-Accessories/6028/bn_569479,26480,0.01,16947,1,97000000,"67,82,82,82,82,100,67,100,82,82,82,82",27/09/2021,"Site links, Reviews, Video, Shopping ads"
pixel 2 xl used,1,1,49500,40,0.46,https://www.ebay.com/b/Google-Pixel-2-XL-Smartphones/9355/bn_86580741,23265,0.01,10701,0.01,42700000,"16,2,2,37,45,45,55,82,82,100,82,100",26/09/2021,"Reviews, Video, FAQ"
ebay seller,1,1,22200,87,4.71,https://pages.ebay.com/seller-center/index.html,17760,0.01,83649,0.38,230000000,"100,82,82,82,82,82,67,82,67,67,67,67",26/09/2021,"Site links, Reviews, Video, People also ask"
www ebay,1,1,33100,100,0.86,https://www.ebay.com/,26480,0.01,22772,0.01,58,"100,100,100,100,100,100,82,82,82,67,67,67",26/09/2021,"Knowledge panel, Site links, Reviews, Tweet"
reborn baby dolls,3,3,201000,81,0.53,https://www.ebay.com/b/Reborn-Dolls/122723/bn_16565603,18090,0.01,9587,1,79,"100,82,45,67,55,82,45,16,7,5,25,16",26/09/2021,"Image pack, Site links, Reviews, Video Carousel, People also ask"
tow truck for sale,1,1,33100,53,0.41,https://www.ebay.com/b/Tow-Trucks/84150/bn_16582070,15557,0.01,6378,0.95,98300000,"100,82,100,82,100,100,100,100,100,100,100,100",26/09/2021,"Local pack, Image pack, Site links, Reviews, People also ask"
ebay com help,1,1,27100,72,0.86,https://www.ebay.com/help/home,21680,0.01,18644,0.36,78,"82,82,82,82,100,100,82,82,82,67,67,67",26/09/2021,"Site links, Reviews, Video, People also ask, FAQ"
ebay fees,1,1,22200,82,14.79,https://www.ebay.com/help/selling/fees-credits-invoices/selling-fees?id=4822,17760,0.01,262670,0.14,363000000,"100,82,82,100,100,100,100,100,82,82,67,67",26/09/2021,"Site links, Video, People also ask"
ebay customer service phone number,1,1,27100,71,1.42,https://www.ebay.com/help/home,21680,0.01,30785,0,19,"45,55,67,82,45,37,82,67,37,37,100,82",26/09/2021,"Site links, People also ask"
ipad pro 11 inch used,1,1,49500,39,0.86,https://www.ebay.com/b/Apple-iPad-Pro-1st-Generation-11-12-9-Inch-Tablets/171485/bn_77104505,23265,0.01,20007,0.01,61800000,"20,1,2,45,55,55,45,82,100,82,82,82",26/09/2021,"Reviews, Video, FAQ"
boats for sale,3,3,301000,76,0.37,https://www.ebay.com/b/Boats/26429/bn_1865510,27090,0.01,10023,0.87,6680000000,"100,55,30,25,25,30,37,55,67,82,82,82",26/09/2021,"Local pack, Image pack, Site links, AdWords top"
google home max white,1,1,40500,56,0,https://www.ebay.com/b/Google-Home-Max-White-Smart-Speakers/184435/bn_95454633,19035,0.01,0,0.04,3660000000,"16,2,2,37,55,55,55,82,100,100,82,55",26/09/2021,"Knowledge panel, Reviews, Video Carousel, People also ask"
ebay official site,1,1,27100,88,1.13,https://www.ebay.com/,21680,0.01,24498,0.07,142000000,"100,100,100,100,100,100,82,100,100,82,82,82",26/09/2021,"Site links, Reviews, Tweet, Video, FAQ"
used nintendo switch,1,1,33100,47,0.49,https://www.ebay.com/b/Nintendo-Switch-Consoles/139971/bn_7116325214,15557,0.01,7622,1,264000000,"82,67,67,100,100,82,67,67,55,55,55,67",26/09/2021,"Site links, Reviews, Video Carousel, People also ask, FAQ"
campers for sale,3,4,246000,74,0.45,https://www.ebay.com/b/RVs-Campers/50054/bn_16581882,22140,0.01,9963,0.55,900000000,"100,82,67,45,45,67,67,100,82,100,100,100",26/09/2021,"Local pack, Image pack, Site links, AdWords top"
food trailer for sale,1,1,33100,64,0.4,https://www.ebay.com/b/Food-Trucks-Concession-Trailers/184249/bn_7717994,15557,0.01,6222,1,138000000,"82,67,67,55,55,82,67,100,100,100,82,82",26/09/2021,"Local pack, Site links, Reviews, Video, People also ask"
porcelain dolls,1,1,40500,60,0.44,https://www.ebay.com/b/Vintage-Porcelain-Dolls/45444/bn_25053040,19035,0.01,8375,1,77800000,"82,82,100,100,100,82,82,82,82,82,82,82",26/09/2021,"Image pack, Site links, Video, Video Carousel, People also ask"
beast quest series 11 and 12,11,11,90,33,0,https://www.ebay.com/p/1549614645,4,0,0,0,82700000,"100,14,0,14,43,0,0,0,57,14,0,0",25/09/2021,"Image pack, Site links, Reviews, AdWords bottom, Video Carousel"
pedals on motorcycle,10,10,70,20,0,https://www.ebay.com/b/Motorcycle-Footrests-Pedals-Pegs/179752/bn_78211225,2,0,0,0.37,20600000,"0,14,43,100,29,14,43,29,14,14,14,57",02/09/2021,"Image pack, Site links, Reviews, Video Carousel, People also ask"
body shop exfoliating towel,12,12,90,27,0,https://www.ebay.com/p/1478321696,0,0,0,1,1080000,"14,14,14,14,43,100,100,14,14,14,14,14",25/09/2021,"Knowledge panel, Image pack, Reviews, Video, People also ask"
phoenix tattoo designs free,19,19,50,24,0,https://www.ebay.com/itm/253885133481,0,0,0,0,79,"0,50,0,0,0,0,50,50,100,0,50,0",07/09/2021,"Image pack, Reviews, Video"
omg doll phone,5,5,50,25,0,https://www.ebay.com/itm/284372490386,2,0,0,1,89,"0,100,22,11,11,11,11,44,11,11,11,11",07/09/2021,"Site links, Reviews"
omg doll phone,4,4,50,25,0,https://www.ebay.com/itm/274860760966,3,0,0,1,89,"0,100,22,11,11,11,11,44,11,11,11,11",07/09/2021,"Site links, Reviews"
silicon power rugged armor a80 review,36,36,40,18,0,https://www.ebay.com/itm/Silicon-Power-1Tb-Rugged-Portable-External-Hard-Drive-Armor-A80-Waterproof-Usb-/123606858622,0,0,0,0,69,"100,0,0,100,50,0,50,0,0,0,0,0",12/09/2021,"Knowledge panel, Image pack, Reviews, Video, Shopping ads, Video Carousel"
steinway and sons white,10,10,50,38,0,https://www.ebay.com/b/Steinway-Sons-Grand-Baby-Grand-Pianos/43376/bn_7496444,0,0,0,1,2860000,"11,11,33,11,11,44,11,11,100,56,33,11",08/09/2021,"Image pack, Site links, Tweet, Video Carousel, People also ask"
electric tongue drum,6,6,40,11,0,https://www.ebay.com/p/22025161741,2,0,0,1,24700000,"67,33,33,33,67,33,33,100,67,33,100,33",09/09/2021,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ"
sierra romero jersey,2,2,30,8,0,https://www.ebay.com/i/383563180149?chn=ps&mkevt=1&mkcid=28,3,0,0,0.79,80,"67,33,33,33,33,33,67,33,33,100,33,33",19/09/2021,Reviews
yamaha jn6 golf cart parts,3,3,70,27,0.41,https://www.ebay.com/b/Golf-Cart-Parts-Accessories-for-Yamaha-G16A/170140/bn_19724829,6,0,2,1,99,"11,22,11,11,11,100,11,11,11,11,11,22",03/09/2021,"Image pack, Reviews, Video, People also ask"
tiffany co singapore online shop,95,95,70,36,0,https://www.ebay.com/b/Tiffany-Co-Diamond-Engagement-Rings/164306/bn_1309445,0,0,0,0,95,"100,0,25,75,25,25,25,25,0,0,25,25",03/09/2021,"Site links, Reviews, Video, AdWords top, FAQ"
talkbox vst,24,24,210,35,11.83,https://www.ebay.com/itm/133313337585,0,0,3,1,132000,"81,65,81,65,100,100,81,100,81,54,54,54",22/09/2021,"Site links, Reviews, Shopping ads, Video Carousel, People also ask"
american girl grandma and me,3,3,40,13,0,https://www.ebay.com/p/102825877,0,0,0,0,247000000,"100,100,50,100,50,0,0,0,0,100,0,0",09/09/2021,"Image pack, Reviews, Video, Video Carousel"
seamaster aqua terra 15000 gauss,12,12,30,26,0,https://www.ebay.com/itm/NEW-OMEGA-SEAMASTER-AQUA-TERRA-15-000-Gauss-complete-231-10-42-21-01-002/164427288499,0,0,0,1,89,"33,33,33,33,100,33,67,33,33,33,33,33",19/09/2021,"Knowledge panel, Image pack, Reviews, Video, Video Carousel, People also ask"
how to install lcd tv wall mount brackets,24,24,70,65,0,https://www.ebay.com/b/TV-Stands-Mounts/48656/bn_738859,0,0,0,0,17900000,"20,0,20,100,20,20,20,0,20,0,0,0",02/09/2021,"Site links, Reviews, Video, Featured snippet, Video Carousel, People also ask, FAQ"
ford 302 stock cam specs,85,85,50,7,0,https://www.ebay.com/p/115349476,0,0,0,0.56,1200000,"100,20,40,20,20,100,20,60,20,20,20,20",05/09/2021,"Site links, Video, People also ask"
city girls fight,83,83,30,37,0,https://www.ebay.com/p/102985270,0,0,0,0,637000000,"11,33,44,33,11,56,100,11,22,11,44,11",15/09/2021,"Image pack, Reviews, Video Carousel"
slate ash,45,45,110,30,0,https://www.ebay.com/itm/Alpaca-Gloves-Diamond-Cool-Slate-Ash-/184557324229,0,0,0,0.01,39300000,"100,35,35,35,27,35,27,27,27,19,81,81",23/09/2021,"Site links, Reviews, Video Carousel, FAQ"
jean dubuffet olympia,33,33,40,18,0,https://www.ebay.com/p/10018436615,0,0,0,0,92,"100,14,43,14,14,71,14,100,57,14,29,71",11/09/2021,"Image pack, Site links, Reviews, People also ask"
lips sofa,14,14,880,39,1.03,https://www.ebay.com/b/lip-sofa/bn_7024737736,6,0,6,1,75100000,"88,72,88,72,72,100,100,100,88,72,72,88",22/09/2021,"Knowledge panel, Reviews, Video, Video Carousel, People also ask"
gooseneck hitch in a short bed truck,79,79,90,14,0,https://www.ebay.com/itm/282433255282,0,0,0,0.86,7400000,"25,25,25,50,25,75,100,25,100,25,25,50",25/09/2021,"Image pack, Site links, Reviews, Featured snippet, Video Carousel, People also ask"
3k battery price,28,28,40,8,0,https://www.ebay.com/itm/TYLT-ENERGI-3K-Battery-Pack-with-Built-In-Lightning-Cable-and-Universal-USB-Port-/192081428088,0,0,0,0.71,8580000,"20,0,100,100,20,20,40,0,20,80,0,20",09/09/2021,"Image pack, Reviews, Video"
contemporary furniture glasgow,25,25,70,17,0,https://www.ebay.com/p/13026029144,0,0,0,0,8570000,"20,20,100,0,0,0,0,0,0,0,0,20",31/08/2021,"Local pack, Site links, Reviews"
hydronic baseboard heater replacement covers,45,45,30,44,0,https://www.ebay.com/p/19023772784,0,0,0,0.71,86,"20,20,80,20,20,20,20,20,20,20,60,100",14/09/2021,"Image pack, Site links, Reviews, AdWords top, Video Carousel, People also ask"
yellow activewear,8,8,90,15,1.28,https://www.ebay.com/b/Gym-Training-Yellow-Activewear-Tops-for-Women/185082/bn_115554603,2,0,3,1,237000000,"53,53,53,53,29,82,65,100,65,53,53,41",23/09/2021,"Image pack, Site links, Reviews, Video"
yellow activewear,7,7,90,15,1.28,https://www.ebay.com/b/Active-Yellow-Activewear-for-Women/185098/bn_114981277,3,0,4,1,237000000,"53,53,53,53,29,82,65,100,65,53,53,41",23/09/2021,"Image pack, Site links, Reviews, Video"
gibraltar neanderthal coin,2,2,70,11,0,https://www.ebay.com/itm/292422265060,9,0,0,0,79,"20,0,0,0,0,0,0,0,100,0,0,0",31/08/2021,"Image pack, Reviews, Video"
possum cleveland browns,17,17,70,33,0,https://www.ebay.com/p/5039104608,0,0,0,0,261000,"14,14,14,71,14,14,100,29,14,14,14,0",02/09/2021,"Reviews, Featured snippet, Video Carousel"
fighting vipers xbox 360,38,38,30,29,0,https://www.ebay.com/sl/Video-Games/139973/bn_82748357,0,0,0,0,181000,"20,20,20,20,80,40,20,100,20,20,20,20",16/09/2021,"Knowledge panel, Reviews, Video, Video Carousel"
furious the legend of kolovrat english dub,76,76,40,14,0,https://www.ebay.com/itm/202302145117,0,0,0,0,98,"22,0,22,11,11,100,0,11,0,44,11,0",10/09/2021,"Image pack, Reviews, Video, Video Carousel"
death by audio sunshine reverberation pedal,16,16,30,6,0,https://www.ebay.com/itm/164585341669,0,0,0,0,93,"100,25,25,0,50,50,50,25,0,0,25,25",16/09/2021,"Knowledge panel, Image pack, Reviews, Video, Video Carousel"
3d greeting cards for anniversary,7,7,40,19,0,https://www.ebay.com/b/Handmade-Anniversary-Greeting-Greeting-Cards/170098/bn_93471910,1,0,0,0,86,"20,40,60,20,20,0,20,20,100,0,0,0",09/09/2021,"Image pack, Reviews, AdWords top, Shopping ads, Video Carousel"
3d greeting cards for anniversary,6,6,40,19,0,https://www.ebay.com/b/Family-Anniversary-Greeting-Pop-Up-Cards/170098/bn_95448260,2,0,0,0,86,"20,40,60,20,20,0,20,20,100,0,0,0",09/09/2021,"Image pack, Reviews, AdWords top, Shopping ads, Video Carousel"
arizona vs houston football,68,68,70,13,0,https://www.ebay.com/itm/264262320666,0,0,0,0,117000000,"33,33,33,67,33,33,100,33,67,0,33,33",30/08/2021,"Instant answer, Site links, Video Carousel"
w62 49 9,12,12,40,1,0.63,https://www.ebay.com/itm/303882443508,0,0,0,0.82,1220000,"100,14,71,14,71,14,100,14,29,14,14,14",09/09/2021,"Image pack, Reviews"
dbt handouts,21,21,260,62,3.13,https://www.ebay.com/p/202767579,0,0,1,0.32,281000,"66,66,53,66,53,81,81,100,81,81,81,81",19/09/2021,"Knowledge panel, Site links, Reviews, Video Carousel, People also ask"
anker roav bolt manual,19,19,90,22,0,https://www.ebay.com/p/24032704284,0,0,0,0,87,"33,11,22,11,56,22,11,56,11,11,11,100",25/09/2021,"Image pack, Site links, Reviews, Video, People also ask"
container hoop building,7,7,70,11,0.86,https://www.ebay.com/itm/20X40-SHELTER-COVER-ROOF-BUILDING-CONEX-OVERSEAS-BOX-SHIPPING-CONTAINER-KIT-/254077124134?_ul=IL,2,0,2,1,11000000,"57,14,14,71,14,14,100,14,14,29,14,14",30/08/2021,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
pink platform stiletto heels,4,4,30,19,0,https://www.ebay.com/b/Pleaser-Stiletto-Pink-Heels-for-Women/55793/bn_7116870431,2,0,0,1,53200000,"14,71,14,43,14,29,100,29,14,100,71,71",19/09/2021,"Image pack, Reviews, Video Carousel"
фишки покемон алиэкспресс,61,61,50,8,0,https://ru.ebay.com/b/Monopoly-Game-Pieces-Parts/7317/bn_1895771,0,0,0,0,81,"0,0,33,0,0,0,0,100,0,0,0,33",08/09/2021,Reviews
mes cousins,21,21,40,16,0,https://www.ebay.com/itm/384155460080,0,0,0,0,92,"14,14,14,14,100,14,14,14,14,14,14,14",11/09/2021,"Knowledge panel, Site links, Reviews"
usb 3.0 locking cable,46,46,70,17,0,https://www.ebay.com/itm/USB-3-0-A-to-Micro-B-Cable-Locking-Screw-Panel-Cable-USB-3-0-Cable-Micro-USB-B-/164219346507,0,0,0,1,4640000,"25,75,25,25,25,25,25,25,100,25,0,100",03/09/2021,"Reviews, Video, Shopping ads"
kaizo mario world,30,30,260,36,0,https://www.ebay.com/itm/233046271538,0,0,0,0,238000,"100,81,81,81,66,100,81,81,66,81,66,81",18/09/2021,"Knowledge panel, Site links, Reviews, Video, Video Carousel, People also ask, FAQ"
