#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
125,coats,2,1,17/10/2021 19:19,53000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,56,8637,0.9,19/10/2021 16:03,,"Sitelinks, Top stories, Thumbnail, Image pack"
126,joe browns,2,2,,154000,https://www.next.co.uk/shop/brand-joebrowns-0,7,8602,0.07,18/10/2021 08:58,,"Sitelinks, People also ask"
127,ted baker pyjamas,1,1,,11000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/brand-bbytedbaker,0,8548,0.45,19/10/2021 10:07,,"Sitelinks, Image pack"
128,swimming costumes,2,2,,33000,https://www.next.co.uk/shop/gender-women-productaffiliation-swimwear-0,21,8538,1.1,19/10/2021 12:54,,"Knowledge card, Sitelinks, Image pack"
129,home accessories,1,1,,22000,https://www.next.co.uk/shop/department-homeware-productaffiliation-decorativeaccessories-0,37,8528,0.7,18/10/2021 23:25,,"Sitelinks, Image pack"
130,prom dresses uk,1,1,,23000,https://www.next.co.uk/shop/gender-women-category-dresses/use-prom,20,8452,0.5,20/10/2021 01:37,,Sitelinks
131,bedroom furniture,6,6,,96000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture-0,28,8382,1.9,19/10/2021 02:51,,"Sitelinks, Image pack"
132,womens gilet,2,2,,25000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-gilets,6,8357,0.7,18/10/2021 08:56,,"Sitelinks, Image pack"
133,accent chairs,2,1,17/10/2021 13:13,40000,https://www.next.co.uk/shop/promotion-accentchairs-0,8,8312,0.9,19/10/2021 02:19,,"Sitelinks, People also ask, Image pack"
134,mens slippers uk,1,1,,20000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-slippers,10,8310,1.3,19/10/2021 09:56,,"Sitelinks, Image pack"
135,mens joggers,3,3,,46000,https://www.next.co.uk/shop/gender-men-category-joggers-0,12,8250,1,19/10/2021 01:01,,"Sitelinks, Image pack"
136,wall art,2,1,17/10/2021 21:56,108000,https://www.next.co.uk/shop/department-homeware-productaffiliation-decorativeaccessories/category-wallart,45,8241,0.6,19/10/2021 21:08,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, Adwords bottom"
137,mens body warmer,1,1,,17000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets/category-gilets,1,8206,0.8,19/10/2021 21:18,,"Sitelinks, People also ask, Image pack"
138,hoodies,3,2,16/10/2021 23:06,86000,https://www.next.co.uk/shop/gender-men-productaffiliation-sweatshirtsandhoodies-0,16,8187,1,18/10/2021 12:32,,"Sitelinks, Image pack"
139,boys school shoes,3,3,,57000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-schoolwear/category-shoes,10,8145,1.5,19/10/2021 23:18,,"Sitelinks, Image pack"
140,mens dressing gown,1,1,,32000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-robes,2,7922,0.7,19/10/2021 01:46,,"Sitelinks, Image pack"
141,push up bras,1,1,,30000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie/category-bras-style-pushup,5,7878,1,18/10/2021 23:34,,"Sitelinks, People also ask, Top stories, Video"
142,tesco clothing,4,4,,185000,https://www.next.co.uk/shop/brand-ff-0,13,7836,0.7,19/10/2021 13:31,,"Sitelinks, Top stories, Thumbnail, Image pack"
143,eyelet curtains,1,1,,25000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains-type-eyelet,6,7746,0.8,19/10/2021 20:51,,"Sitelinks, Top stories, Video, Image pack"
144,skechers slippers,1,2,16/10/2021 07:28,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/brand-skechers-category-slippers,0,7600,0.45,18/10/2021 12:03,,"Sitelinks, Image pack"
145,table lamp,2,3,16/10/2021 15:18,53000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,21,7546,0.8,18/10/2021 16:16,,"Knowledge card, Sitelinks, Image pack"
146,yours,2,2,,165000,https://www.next.co.uk/shop/brand-yours-0,13,7440,0.15,19/10/2021 14:10,,"Sitelinks, Top stories, Video"
147,boys dressing gown,1,1,,24000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-nightwear/category-robes,0,7430,0.6,18/10/2021 15:08,,"Sitelinks, Image pack"
148,birthday gifts for her,3,4,17/10/2021 21:01,48000,https://www.next.co.uk/shop/promotion-giftsforher-0,38,7429,1,19/10/2021 14:43,,"Sitelinks, Image pack"
149,sweatshirts for men,2,2,,28000,https://www.next.co.uk/shop/gender-men-productaffiliation-sweatshirtsandhoodies-0,12,7429,1.2,19/10/2021 14:37,,"Sitelinks, Image pack"
150,glass coffee table,1,4,17/10/2021 09:00,31000,https://www.next.co.uk/shop/department-homeware-productaffiliation-coffeesidetables-0,14,7407,0.8,19/10/2021 15:46,,"Sitelinks, Image pack"
151,mens underwear,1,1,,33000,https://www.next.co.uk/shop/gender-men-productaffiliation-underwear-0,22,7375,1.1,19/10/2021 02:00,,"Sitelinks, Top stories, Video, Image pack"
152,shirt,1,1,,39000,https://www.next.co.uk/shop/gender-men-category-shirts-0,45,7373,2.5,18/10/2021 16:00,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack"
153,ladies gilets,1,2,16/10/2021 09:03,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-gilets,3,7356,1.3,18/10/2021 07:59,,"Sitelinks, Image pack"
154,hoodies for women,1,1,,32000,https://www.next.co.uk/shop/gender-women-productaffiliation-sweatshirtsandhoodies-0,22,7336,1,19/10/2021 19:31,,"Sitelinks, Image pack"
155,f and f,2,2,,34000,https://www.next.co.uk/shop/brand-ff-0,12,7309,0.1,19/10/2021 17:49,,"Sitelinks, People also ask, Top stories, Video, Image pack"
156,moccasin slippers mens,1,1,,17000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-slippers,1,7261,0.7,19/10/2021 21:43,,"Sitelinks, Image pack"
157,homeware,2,2,,30000,https://www.next.co.uk/homeware,52,7182,0.5,18/10/2021 23:52,,Sitelinks
158,tops for women,1,1,,29000,https://www.next.co.uk/shop/gender-women-productaffiliation-tops-0,51,7179,0.8,19/10/2021 14:17,,Sitelinks
159,cargo pants,2,2,,66000,https://www.next.co.uk/shop/gender-men-category-trousers/style-cargo,4,7150,1,19/10/2021 15:21,,"Sitelinks, Image pack, Top stories, Video"
160,black puffer coat,1,2,18/10/2021 18:51,21000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,7,7147,0.5,20/10/2021 04:27,,"Sitelinks, Image pack"
161,coffee tables,2,2,,26000,https://www.next.co.uk/shop/department-homeware-productaffiliation-coffeesidetables-0,14,7142,1.1,18/10/2021 11:04,,"Knowledge card, Sitelinks, Image pack"
162,baby girl coats,1,1,,14000,https://www.next.co.uk/shop/gender-newborngirls-gender-youngergirls-productaffiliation-coatsandjackets-0,2,7142,0.7,18/10/2021 16:20,,"Sitelinks, Image pack"
163,long cardigan,1,2,16/10/2021 11:46,27000,https://www.next.co.uk/shop/gender-women-productaffiliation-knitwear/category-cardigans,19,7052,0.9,18/10/2021 12:04,,"Sitelinks, Image pack"
164,mothers day gifts,3,4,18/10/2021 21:55,50000,https://www.next.co.uk/shop/promotion-mothersdaygifts-0,24,7027,1.4,20/10/2021 08:25,,Sitelinks
165,mens christmas pyjamas,1,1,,15000,https://www.next.co.uk/shop/gender-men-promotion-christmasnightwear-0,0,7022,0.45,19/10/2021 11:34,,"Sitelinks, Image pack"
166,womens hoodie,1,1,,20000,https://www.next.co.uk/shop/gender-women-productaffiliation-sweatshirtsandhoodies-0,22,7014,1.6,18/10/2021 12:59,,"Sitelinks, Image pack"
167,rug,2,4,17/10/2021 13:33,41000,https://www.next.co.uk/shop/department-homeware-productaffiliation-rugsrunnersdoormats/category-rugs,43,6951,1.9,19/10/2021 23:11,,"Sitelinks, Tweet box, Top stories, Thumbnail, Image pack"
168,laura ashley furniture,1,1,,9100,https://www.next.co.uk/laura-ashley/shop/department-homeware-productaffiliation-livingfurniture/brand-lauraashley,8,6918,0.2,20/10/2021 05:15,,"Sitelinks, People also ask, Image pack"
169,coasters,1,2,18/10/2021 21:31,34000,https://www.next.co.uk/shop/department-homeware-productaffiliation-kitchen/category-tablelinen-type-coasters,4,6885,0.7,20/10/2021 08:27,,"Sitelinks, Image pack"
170,black trousers for women,1,1,,21000,https://www.next.co.uk/shop/gender-women-category-trousers/colour-black,5,6849,1.3,19/10/2021 21:33,,"Sitelinks, Image pack"
171,prom dresses,1,1,,31000,https://www.next.co.uk/shop/gender-women-category-dresses/use-prom,18,6835,0.45,18/10/2021 15:00,,Sitelinks
172,footwear,1,2,16/10/2021 02:27,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear-0,74,6827,0.6,18/10/2021 01:29,,"Sitelinks, Top stories, Thumbnail, Image pack"
173,artificial plants,5,4,16/10/2021 10:56,64000,https://www.next.co.uk/shop/department-homeware-productaffiliation-decorativeaccessories/category-artificialflowers,26,6826,1,18/10/2021 15:11,,"Sitelinks, Image pack"
174,corner bookcase,1,1,,11000,https://www.next.co.uk/shop/department-homeware-category-shelves-0,4,6788,0.9,18/10/2021 17:57,,"Image pack, Sitelinks"
175,trainers,4,4,,90000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-trainers,42,6755,0.9,19/10/2021 03:30,,"Sitelinks, Top stories, Thumbnail, Image pack"
176,lipsy dresses,1,1,,27000,https://www.next.co.uk/shop/gender-women-category-dresses/brand-lipsy,1,6743,0.15,18/10/2021 23:41,,"Sitelinks, People also ask, Image pack"
177,girls pyjamas,2,5,16/10/2021 17:52,30000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-nightwear-0,10,6733,0.9,18/10/2021 19:22,,"Sitelinks, Image pack"
178,shoes for men,1,3,16/10/2021 23:26,27000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear-0,35,6704,1.2,18/10/2021 15:43,,"Shopping results, Thumbnail, Sitelinks"
179,womens christmas jumper,2,2,,26000,https://www.next.co.uk/shop/gender-women-category-jumpers/style-christmassweater,6,6696,,20/10/2021 09:00,,"Sitelinks, Image pack"
180,boys tracksuits,2,2,,35000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-sportswear/category-tracksuits,9,6685,0.6,20/10/2021 02:36,,"Sitelinks, Image pack"
181,nextpay,1,1,,8100,https://www.next.co.uk/credit,27,6626,,19/10/2021 18:30,,"Sitelinks, People also ask"
182,ladies coats,1,1,,30000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,49,6616,1,18/10/2021 16:18,,"Sitelinks, Image pack"
183,duvet sets,2,1,16/10/2021 17:40,26000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedding-0,28,6614,0.6,18/10/2021 15:20,,"Sitelinks, Image pack"
184,laura ashley bedding,1,1,,8200,https://www.next.co.uk/laura-ashley/shop/department-homeware-productaffiliation-bedding/brand-lauraashley,1,6559,0.2,19/10/2021 09:36,,"Sitelinks, Image pack"
185,gifts for women,1,1,,27000,https://www.next.co.uk/shop/promotion-giftsforher-0,39,6527,0.7,19/10/2021 09:26,,"Sitelinks, Image pack"
186,fleece lined leggings,2,3,17/10/2021 07:24,21000,https://www.next.co.uk/g66117s4/582164,1,6513,0.6,19/10/2021 02:28,,"People also ask, Sitelinks, Top stories, Video"
187,jacket,2,4,17/10/2021 19:55,77000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,50,6497,1,19/10/2021 21:07,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack"
188,womens dressing gown,1,1,,19000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-robes,9,6478,0.9,19/10/2021 00:29,,"Sitelinks, Image pack"
189,christmas gifts,4,6,18/10/2021 20:19,61000,https://www.next.co.uk/shop/promotion-christmasgifts-0,43,6464,0.8,20/10/2021 04:22,,"Sitelinks, People also ask, Top stories, Thumbnail"
190,long sleeve polo shirts,1,1,,12000,https://www.next.co.uk/shop/gender-men-productaffiliation-tops/category-poloshirts-sleeve-longsleeve,3,6459,1.1,19/10/2021 10:31,,"Sitelinks, Image pack"
191,lamps for bedside tables,1,1,,18000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,21,6443,,19/10/2021 15:52,,"Shopping results, Thumbnail, People also ask, Image pack, Sitelinks"
192,wall lights,3,2,18/10/2021 11:43,79000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-walllights,9,6433,1,20/10/2021 03:33,,"Adwords top, Sitelinks, Image pack, Adwords bottom"
193,floor lamps,3,4,17/10/2021 12:04,34000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-floorlights,21,6428,0.9,19/10/2021 19:01,,"Knowledge card, Sitelinks, Image pack"
194,www.next.co.uk,1,1,,7700,https://www.next.co.uk/,62,6420,,19/10/2021 09:32,,Sitelinks
195,underwear women,1,1,,20000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie-0,41,6414,0.6,18/10/2021 22:19,,"Sitelinks, Image pack"
196,tripod floor lamp,2,1,16/10/2021 05:27,29000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-floorlights,12,6395,0.8,18/10/2021 14:34,,"People also ask, Sitelinks, Image pack, Top stories, Video"
197,jumpers for women,1,1,,23000,https://www.next.co.uk/shop/gender-women-productaffiliation-knitwear/category-jumpers,33,6370,0.9,19/10/2021 03:07,,Sitelinks
198,grey hoodie,1,2,16/10/2021 01:03,23000,https://www.next.co.uk/shop/gender-men-productaffiliation-sweatshirtsandhoodies/colour-grey,9,6368,0.8,18/10/2021 22:08,,"Sitelinks, Image pack"
199,leather leggings,1,1,,20000,https://www.next.co.uk/shop/gender-women-category-leggings/madewith-fauxleather,3,6367,1.2,19/10/2021 01:05,,"Sitelinks, Image pack, Top stories, Video"
200,maxi dresses,2,2,,30000,https://www.next.co.uk/shop/gender-women-category-dresses/style-maxidress,35,6353,0.9,19/10/2021 22:19,,"Knowledge card, Sitelinks, Image pack"
201,jumper dress,2,2,,30000,https://www.next.co.uk/shop/gender-women-category-dresses/style-jumperdress,8,6323,0.6,19/10/2021 11:19,,"Sitelinks, Image pack"
202,party dresses,2,1,17/10/2021 00:35,35000,https://www.next.co.uk/shop/gender-women-category-dresses/use-partywear,35,6318,0.7,19/10/2021 18:50,,"Sitelinks, Image pack"
203,mens christmas jumpers,1,1,,20000,https://www.next.co.uk/shop/style-christmassweater-0,1,6296,0.5,20/10/2021 08:05,,"Sitelinks, Image pack"
204,girls wellies,1,1,,23000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-footwear/category-wellies,5,6282,0.6,19/10/2021 00:56,,Sitelinks
205,mens jeans,1,1,,30000,https://www.next.co.uk/shop/gender-men-category-jeans-0,25,6281,1.7,18/10/2021 14:42,,"Sitelinks, Image pack"
206,mens white trainers,2,2,,34000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-trainers-colour-white,11,6255,0.9,20/10/2021 02:28,,"Sitelinks, Image pack"
207,womens clothing,2,1,17/10/2021 19:00,50000,https://www.next.co.uk/women,67,6227,0.9,19/10/2021 22:00,,"Sitelinks, Image pack, Adwords bottom"
208,joules wellies,2,8,18/10/2021 13:17,61000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/brand-joules-category-wellies,0,6212,0.5,20/10/2021 07:28,,"Sitelinks, People also ask, Image pack"
209,makeup bag,2,2,,36000,https://www.next.co.uk/shop/category-cosmeticbags-0,7,6208,0.8,19/10/2021 11:56,,"Knowledge card, Sitelinks, Image pack"
210,nest of tables,1,1,,31000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-nestoftables,6,6178,1.1,19/10/2021 21:57,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom"
211,shirt dress,3,4,17/10/2021 23:47,53000,https://www.next.co.uk/shop/gender-women-category-dresses/style-shirtdress,20,6162,0.8,19/10/2021 11:08,,"Sitelinks, Image pack"
212,school bags for girls,1,1,,25000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-schoolwear/category-bags,6,6157,0.6,18/10/2021 16:41,,Sitelinks
213,chelsea boots women,1,1,,33000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-boots-style-chelsea,8,6149,0.8,19/10/2021 22:45,,"Sitelinks, Image pack"
214,throws for beds,1,1,,18000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-throws,18,6143,0.9,20/10/2021 02:33,,"Sitelinks, People also ask, Top stories, Video"
215,mens slipper boots,1,1,,11000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-slippers,3,6119,0.8,19/10/2021 18:26,,"Sitelinks, Image pack"
216,curtain pole,5,5,,75000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainpoles-0,9,6115,0.7,19/10/2021 03:47,,"Sitelinks, Top stories, Video, Image pack"
217,winter coats men,1,1,,15000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets-0,18,6114,0.9,19/10/2021 09:50,,"Sitelinks, Image pack"
218,winter coat,1,1,,47000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,23,6105,0.6,19/10/2021 21:01,,"Sitelinks, Top stories, Thumbnail, Image pack"
219,womens scarves,1,2,16/10/2021 10:44,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-hatsglovesscarves/category-scarves,18,6099,1.2,18/10/2021 14:04,,"Sitelinks, Image pack"
220,dressing table mirror,3,2,17/10/2021 08:54,39000,https://www.next.co.uk/shop/department-homeware-category-mirrors/type-dressingtable,0,6052,0.7,19/10/2021 15:45,,"Sitelinks, Image pack"
221,skater dress,2,2,,29000,https://www.next.co.uk/shop/gender-women-category-dresses/style-skater,26,6028,0.7,19/10/2021 10:47,,"Sitelinks, Image pack"
222,jumpers,2,1,18/10/2021 20:15,64000,https://www.next.co.uk/shop/gender-women-productaffiliation-knitwear/category-jumpers,35,6025,0.9,20/10/2021 05:09,,"Knowledge card, Sitelinks, Top stories, Thumbnail, Image pack"
223,grey rug,2,2,,40000,https://www.next.co.uk/shop/department-homeware-productaffiliation-rugsrunnersdoormats/category-rugs-colour-grey,2,5997,0.9,18/10/2021 17:43,,"Sitelinks, Image pack"
224,midi dresses for women,1,1,,18000,https://www.next.co.uk/shop/gender-women-category-dresses/length-midi,29,5987,,19/10/2021 09:51,,"Sitelinks, Image pack"
225,new baby gifts,2,4,17/10/2021 21:19,21000,https://www.next.co.uk/shop/occasion-newbaby-0,10,5983,1,19/10/2021 08:49,,"Sitelinks, Image pack"
226,padded coat,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,5,5969,0.7,18/10/2021 15:41,,"Sitelinks, Image pack"
227,pyjama set,1,1,,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas,17,5946,1,18/10/2021 21:24,,"Sitelinks, Image pack"
228,grey curtains,2,2,,39000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains-colour-grey,1,5932,0.6,18/10/2021 20:18,,"Sitelinks, Image pack"
229,silk pajamas,1,1,,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas-style-satin,2,5927,0.9,19/10/2021 14:09,,"People also ask, Sitelinks, Image pack"
230,womens puffer jacket,1,2,16/10/2021 03:13,22000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,7,5916,0.8,18/10/2021 15:11,,"Sitelinks, Image pack"
231,cross body bags,1,2,18/10/2021 19:38,15000,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-bags-style-acrossthebody,5,5898,0.9,20/10/2021 08:41,,"Sitelinks, Image pack"
232,girls gilets,1,1,,8900,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-coatsandjackets/category-gilets,0,5896,1.2,19/10/2021 19:33,,"Sitelinks, Image pack"
233,black handbag,1,1,,27000,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-bags-colour-black,2,5884,1.1,19/10/2021 16:20,,"Sitelinks, Image pack"
234,womens padded coat,1,1,,15000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,8,5882,0.7,18/10/2021 08:10,,"Sitelinks, Image pack"
235,pink blazer,1,1,,18000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/colour-pink-style-blazer,3,5867,0.6,18/10/2021 15:50,,"Sitelinks, Image pack"
236,scarves,1,3,18/10/2021 16:48,40000,https://www.next.co.uk/shop/gender-women-productaffiliation-hatsglovesscarves/category-scarves,18,5851,1,20/10/2021 05:05,,"Sitelinks, Image pack"
237,chest of drawers,9,8,18/10/2021 20:52,173000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture/category-chests,14,5841,1.5,20/10/2021 05:21,,"Knowledge card, Sitelinks, Image pack"
238,shift dresses,2,2,,20000,https://www.next.co.uk/shop/gender-women-category-dresses/style-shift,7,5840,1.6,19/10/2021 06:15,,"Knowledge card, Sitelinks, People also ask, Image pack"
239,girls trainers,3,2,16/10/2021 20:29,49000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-footwear/category-trainers,6,5827,1.1,18/10/2021 21:07,,"Sitelinks, Image pack"
240,leather jacket,2,2,,62000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/madewith-leather,10,5818,1,18/10/2021 21:46,,"Knowledge card, Sitelinks, People also ask, Image pack"
241,matching family christmas pyjamas,2,1,17/10/2021 18:15,23000,https://www.next.co.uk/shop/productaffiliation-nightwear-promotion-familychristmas-0,1,5807,,19/10/2021 10:55,,Image pack
242,sofa throws,1,1,,25000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-throws,15,5803,0.45,19/10/2021 09:36,,"Sitelinks, Image pack"
243,boys suits,1,1,,15000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-boyssuits-0,7,5796,0.6,18/10/2021 11:23,,Sitelinks
244,womens long cardigan,1,1,,15000,https://www.next.co.uk/shop/gender-women-productaffiliation-knitwear/category-cardigans,19,5769,0.8,18/10/2021 21:34,,"Sitelinks, Image pack"
245,mens leather jackets,2,6,17/10/2021 18:55,19000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets/category-jackets-style-biker,12,5756,1,19/10/2021 22:43,,"Sitelinks, People also ask, Image pack"
246,christmas presents,2,2,,37000,https://www.next.co.uk/shop/promotion-christmasgifts-0,43,5755,0.9,19/10/2021 12:04,,"Top stories, Thumbnail, Sitelinks, People also ask, Video, Image pack"
247,wallets for men,2,1,17/10/2021 01:01,38000,https://www.next.co.uk/shop/gender-men-productaffiliation-accessories/category-wallets,11,5744,0.9,19/10/2021 23:31,,"Sitelinks, People also ask, Image pack"
248,black boots,2,2,,44000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-boots-length-ankle,48,5741,0.9,19/10/2021 14:23,,"Sitelinks, Image pack"
