Date,Clicks,Impressions,CTR,Position
2020-12-28,3,240,1.25%,57.37
2020-12-27,4,211,1.9%,59.43
2020-12-26,2,196,1.02%,59.66
2020-12-25,1,204,0.49%,59.17
2020-12-24,2,228,0.88%,61.47
2020-12-23,0,260,0%,55.66
2020-12-22,8,241,3.32%,55
2020-12-21,4,216,1.85%,55.95
2020-12-20,6,218,2.75%,51.99
2020-12-19,5,209,2.39%,55.27
2020-12-18,6,238,2.52%,52.32
2020-12-17,10,188,5.32%,57.31
2020-12-16,2,239,0.84%,59.9
2020-12-15,4,321,1.25%,56.48
2020-12-14,1,320,0.31%,57.36
2020-12-13,6,270,2.22%,59.77
2020-12-12,7,303,2.31%,58.52
2020-12-11,6,312,1.92%,56.19
2020-12-10,8,342,2.34%,58.55
2020-12-09,10,320,3.12%,56.99
2020-12-08,2,284,0.7%,57.8
2020-12-07,3,302,0.99%,57.85
2020-12-06,4,236,1.69%,59.11
2020-12-05,6,319,1.88%,59.29
2020-12-04,12,211,5.69%,55.96
2020-12-03,7,208,3.37%,56.41
2020-12-02,6,229,2.62%,56.77
2020-12-01,12,269,4.46%,54.37
2020-11-30,11,233,4.72%,53.03
2020-11-29,14,217,6.45%,55.87
2020-11-28,10,225,4.44%,54.83
2020-11-27,18,222,8.11%,50.34
2020-11-26,10,212,4.72%,54.61
2020-11-25,13,256,5.08%,48.7
2020-11-24,15,257,5.84%,53.47
2020-11-23,5,232,2.16%,55.07
2020-11-22,9,239,3.77%,53.16
2020-11-21,14,242,5.79%,55.54
2020-11-20,20,271,7.38%,55.61
2020-11-19,7,228,3.07%,56.4
2020-11-18,7,232,3.02%,52.51
2020-11-17,8,276,2.9%,54.83
2020-11-16,2,221,0.9%,56
2020-11-15,2,182,1.1%,53.61
2020-11-14,7,224,3.12%,56.19
2020-11-13,11,212,5.19%,52.61
2020-11-12,4,199,2.01%,54.38
2020-11-11,10,220,4.55%,51.77
2020-11-10,6,225,2.67%,51.64
2020-11-09,5,241,2.07%,55.38
2020-11-08,2,196,1.02%,58.72
2020-11-07,8,199,4.02%,54.8
2020-11-06,7,191,3.66%,54.52
2020-11-05,3,172,1.74%,54.06
2020-11-04,10,184,5.43%,48.64
2020-11-03,2,181,1.1%,52.49
2020-11-02,6,180,3.33%,49.82
2020-11-01,5,130,3.85%,54.9
2020-10-31,9,133,6.77%,52.2
2020-10-30,2,141,1.42%,57.55
2020-10-29,6,175,3.43%,49.11
2020-10-28,1,143,0.7%,51.67
2020-10-27,9,160,5.62%,54.53
2020-10-26,5,168,2.98%,49.99
2020-10-25,3,165,1.82%,50.23
2020-10-24,7,186,3.76%,48.33
2020-10-23,2,183,1.09%,52.94
2020-10-22,0,174,0%,53.99
2020-10-21,3,188,1.6%,50.81
2020-10-20,12,225,5.33%,50.01
2020-10-19,5,172,2.91%,56.83
2020-10-18,7,184,3.8%,49.46
2020-10-17,8,169,4.73%,51.27
2020-10-16,4,180,2.22%,50.54
2020-10-15,5,180,2.78%,47.33
2020-10-14,0,216,0%,48.61
2020-10-13,4,214,1.87%,50.08
2020-10-12,9,202,4.46%,46.94
2020-10-11,6,192,3.12%,52.73
2020-10-10,5,213,2.35%,51.93
2020-10-09,2,203,0.99%,52.2
2020-10-08,6,208,2.88%,53.15
2020-10-07,6,184,3.26%,53.28
2020-10-06,4,148,2.7%,55.65
2020-10-05,8,184,4.35%,47.96
2020-10-04,2,203,0.99%,49.85
2020-10-03,6,181,3.31%,49.56
2020-10-02,0,126,0%,49.6
2020-10-01,3,114,2.63%,46.65
2020-09-30,5,153,3.27%,43.75
2020-09-29,1,146,0.68%,47.42
2020-09-28,1,128,0.78%,50.8
2020-09-27,3,117,2.56%,49.32
2020-09-26,13,140,9.29%,47.67
2020-09-25,3,138,2.17%,49.62
2020-09-24,4,162,2.47%,45.75
2020-09-23,11,215,5.12%,45.9
2020-09-22,5,205,2.44%,49.58
2020-09-21,4,197,2.03%,50.66
2020-09-20,3,205,1.46%,54.46
2020-09-19,4,168,2.38%,48.85
2020-09-18,6,173,3.47%,52.13
2020-09-17,4,214,1.87%,49.03
2020-09-16,4,215,1.86%,49.78
2020-09-15,5,201,2.49%,52.46
2020-09-14,2,182,1.1%,50.73
2020-09-13,5,188,2.66%,51.52
2020-09-12,3,184,1.63%,52.62
2020-09-11,1,173,0.58%,52.68
2020-09-10,5,179,2.79%,47.53
2020-09-09,1,153,0.65%,54.65
2020-09-08,5,135,3.7%,51.9
2020-09-07,3,122,2.46%,52.79
2020-09-06,8,112,7.14%,43.27
2020-09-05,2,91,2.2%,48.75
2020-09-04,3,99,3.03%,53.71
2020-09-03,3,77,3.9%,56.53
2020-09-02,5,103,4.85%,50.04
2020-09-01,7,142,4.93%,50.66
2020-08-31,9,103,8.74%,52.83
2020-08-30,4,87,4.6%,61.25
2020-08-29,8,88,9.09%,54.59
2020-08-28,7,114,6.14%,57.31
2020-08-27,6,93,6.45%,61.22
2020-08-26,6,99,6.06%,55.54
2020-08-25,5,98,5.1%,54.03
2020-08-24,4,98,4.08%,54.21
2020-08-23,7,108,6.48%,56.97
2020-08-22,0,106,0%,66.25
2020-08-21,2,134,1.49%,58.31
2020-08-20,3,126,2.38%,58.44
2020-08-19,4,129,3.1%,61.99
2020-08-18,5,122,4.1%,54
2020-08-17,6,102,5.88%,50.63
2020-08-16,3,130,2.31%,56.14
2020-08-15,7,196,3.57%,49.35
2020-08-14,13,137,9.49%,53.9
2020-08-13,6,130,4.62%,55.08
2020-08-12,7,123,5.69%,54.93
2020-08-11,5,131,3.82%,51.65
2020-08-10,7,125,5.6%,50.59
2020-08-09,5,138,3.62%,58.04
2020-08-08,6,133,4.51%,54.46
2020-08-07,3,122,2.46%,55.27
2020-08-06,1,113,0.88%,54.88
2020-08-05,2,105,1.9%,55.1
2020-08-04,9,102,8.82%,47.22
2020-08-03,6,87,6.9%,54.39
2020-08-02,6,106,5.66%,54.84
2020-08-01,2,108,1.85%,50.76
2020-07-31,3,127,2.36%,55.28
2020-07-30,5,101,4.95%,47.67
2020-07-29,4,113,3.54%,51.6
2020-07-28,9,99,9.09%,48.21
2020-07-27,13,98,13.27%,51.6
2020-07-26,5,88,5.68%,55.45
2020-07-25,9,89,10.11%,48.8
2020-07-24,5,88,5.68%,55.47
2020-07-23,1,91,1.1%,54.43
2020-07-22,3,86,3.49%,64.71
2020-07-21,2,100,2%,53.24
2020-07-20,9,86,10.47%,52.85
2020-07-19,1,77,1.3%,63.6
2020-07-18,3,80,3.75%,57.51
2020-07-17,9,96,9.38%,53.08
2020-07-16,4,99,4.04%,55.83
2020-07-15,5,97,5.15%,59.93
2020-07-14,5,109,4.59%,52.96
2020-07-13,3,82,3.66%,58.16
2020-07-12,4,88,4.55%,61.93
2020-07-11,6,84,7.14%,55.08
2020-07-10,5,82,6.1%,56.91
2020-07-09,6,109,5.5%,52.54
2020-07-08,4,92,4.35%,56.36
2020-07-07,3,107,2.8%,50.96
2020-07-06,2,88,2.27%,51.01
2020-07-05,4,108,3.7%,50.46
2020-07-04,4,108,3.7%,54.12
2020-07-03,7,98,7.14%,54.02
2020-07-02,4,82,4.88%,55.09
2020-07-01,3,79,3.8%,59.13
2020-06-30,2,79,2.53%,60.8
2020-06-29,1,65,1.54%,68.54
2020-06-28,7,77,9.09%,56.39
2020-06-27,2,68,2.94%,63.9
2020-06-26,4,90,4.44%,60.54
2020-06-25,6,93,6.45%,57.32
2020-06-24,2,99,2.02%,58.38
2020-06-23,3,95,3.16%,57.22
2020-06-22,6,69,8.7%,61.7
2020-06-21,5,62,8.06%,68.74
2020-06-20,3,66,4.55%,62.71
2020-06-19,5,51,9.8%,69
2020-06-18,5,58,8.62%,59.43
2020-06-17,4,41,9.76%,58.76
2020-06-16,3,44,6.82%,55.07
2020-06-15,5,32,15.62%,62.91
2020-06-14,4,40,10%,54.05
2020-06-13,4,25,16%,52.08
2020-06-12,5,36,13.89%,62.03
2020-06-11,1,41,2.44%,69.37
2020-06-10,3,38,7.89%,71.97
2020-06-09,5,49,10.2%,61.31
2020-06-08,1,48,2.08%,66.06
2020-06-07,4,48,8.33%,67.35
2020-06-06,4,40,10%,63.12
2020-06-05,7,56,12.5%,59.75
2020-06-04,2,53,3.77%,62.64
2020-06-03,2,43,4.65%,70.84
2020-06-02,1,34,2.94%,64.18
2020-06-01,0,34,0%,74.97
2020-05-31,2,30,6.67%,59.3
2020-05-30,5,23,21.74%,58.52
2020-05-29,4,33,12.12%,50.88
2020-05-28,3,31,9.68%,46.71
2020-05-27,5,27,18.52%,50.37
2020-05-26,0,22,0%,59.73
2020-05-25,1,20,5%,51.35
2020-05-24,9,34,26.47%,49.29
2020-05-23,12,36,33.33%,32.64
2020-05-22,4,23,17.39%,53.78
2020-05-21,6,21,28.57%,50
2020-05-20,5,23,21.74%,48.39
2020-05-19,2,17,11.76%,64.41
2020-05-18,4,21,19.05%,32.33
2020-05-17,15,36,41.67%,24.14
2020-05-16,5,18,27.78%,25.89
2020-05-15,3,23,13.04%,40.39
2020-05-14,3,37,8.11%,64.62
2020-05-13,0,35,0%,67.31
2020-05-12,2,32,6.25%,58.69
2020-05-11,1,37,2.7%,60.95
2020-05-10,6,35,17.14%,58.63
2020-05-09,2,38,5.26%,71.47
2020-05-08,2,34,5.88%,64
2020-05-07,0,27,0%,69.22
2020-05-06,1,39,2.56%,57.64
2020-05-05,4,35,11.43%,65.49
2020-05-04,3,24,12.5%,63.71
2020-05-03,0,26,0%,69.08
2020-05-02,2,37,5.41%,64.32
2020-05-01,4,22,18.18%,45.23
2020-04-30,1,12,8.33%,29.75
2020-04-29,2,11,18.18%,39.18
2020-04-28,8,16,50%,22.44
2020-04-27,2,16,12.5%,29.69
2020-04-26,3,11,27.27%,41.55
2020-04-25,5,12,41.67%,22.67
2020-04-24,5,19,26.32%,29.16
2020-04-23,0,8,0%,40
2020-04-22,4,11,36.36%,24.09
2020-04-21,2,8,25%,63.62
2020-04-20,0,34,0%,59.53
2020-04-19,0,31,0%,64.23
2020-04-18,1,25,4%,66.52
2020-04-17,1,28,3.57%,64.79
2020-04-16,2,34,5.88%,67.56
2020-04-15,2,38,5.26%,75.97
2020-04-14,0,24,0%,70.58
2020-04-13,5,38,13.16%,58.39
2020-04-12,1,38,2.63%,72.37
2020-04-11,2,35,5.71%,67.91
2020-04-10,3,39,7.69%,61.59
2020-04-09,3,28,10.71%,61.64
2020-04-08,7,34,20.59%,54.56
2020-04-07,1,37,2.7%,56.43
2020-04-06,7,39,17.95%,54.82
2020-04-05,0,33,0%,64.52
2020-04-04,2,35,5.71%,56.09
2020-04-03,2,36,5.56%,52
2020-04-02,0,31,0%,65.1
2020-04-01,0,38,0%,67.16
2020-03-31,0,32,0%,67.62
2020-03-30,0,26,0%,67.12
2020-03-29,0,25,0%,71.28
2020-03-28,2,30,6.67%,67.53
2020-03-27,0,25,0%,72.12
2020-03-26,0,34,0%,71.24
2020-03-25,1,29,3.45%,71.31
2020-03-24,0,33,0%,64.73
2020-03-23,3,38,7.89%,70.76
2020-03-22,1,30,3.33%,65.97
2020-03-21,0,26,0%,68.62
2020-03-20,0,28,0%,73.89
2020-03-19,0,32,0%,69.28
2020-03-18,0,29,0%,82.69
2020-03-17,0,34,0%,75.53
2020-03-16,0,31,0%,67.06
2020-03-15,2,31,6.45%,61.03
2020-03-14,2,29,6.9%,65.72
2020-03-13,3,34,8.82%,67.59
2020-03-12,1,44,2.27%,64.32
2020-03-11,1,32,3.12%,71.94
2020-03-10,1,40,2.5%,62.1
2020-03-09,4,31,12.9%,63.13
2020-03-08,2,29,6.9%,62.03
2020-03-07,1,26,3.85%,74.27
2020-03-06,3,29,10.34%,67.34
2020-03-05,4,27,14.81%,56.56
2020-03-04,2,27,7.41%,62.3
2020-03-03,1,32,3.12%,72.12
2020-03-02,0,21,0%,70.48
2020-03-01,1,20,5%,72.9
2020-02-29,1,22,4.55%,62.86
2020-02-28,4,27,14.81%,52.33
2020-02-27,4,28,14.29%,47.71
2020-02-26,1,24,4.17%,58.96
2020-02-25,0,29,0%,68.86
2020-02-24,1,20,5%,61.25
2020-02-23,0,16,0%,48.56
2020-02-22,0,14,0%,53.79
2020-02-21,5,17,29.41%,42.12
2020-02-20,0,19,0%,64.89
2020-02-19,3,19,15.79%,50.68
2020-02-18,2,18,11.11%,57.94
2020-02-17,0,14,0%,46.86
2020-02-16,1,12,8.33%,59.83
2020-02-15,1,21,4.76%,72.14
2020-02-14,1,14,7.14%,68.57
2020-02-13,4,19,21.05%,39.89
2020-02-12,1,12,8.33%,49.92
2020-02-11,1,9,11.11%,56.44
2020-02-10,2,28,7.14%,63.75
2020-02-09,0,27,0%,61.81
2020-02-08,1,25,4%,67.52
2020-02-07,0,31,0%,73.77
2020-02-06,1,30,3.33%,75.77
2020-02-05,1,36,2.78%,71.72
2020-02-04,5,46,10.87%,64.48
2020-02-03,0,35,0%,70.17
2020-02-02,0,37,0%,74.73
2020-02-01,2,31,6.45%,69.55
2020-01-31,4,23,17.39%,66.39
2020-01-30,3,25,12%,62.2
2020-01-29,2,25,8%,73.88
2020-01-28,0,25,0%,71.28
2020-01-27,0,20,0%,71.3
2020-01-26,0,21,0%,70.33
2020-01-25,1,30,3.33%,60.57
2020-01-24,2,27,7.41%,65.52
2020-01-23,1,21,4.76%,67.95
2020-01-22,2,32,6.25%,65.69
2020-01-21,2,16,12.5%,59.81
2020-01-20,3,15,20%,61.6
2020-01-19,4,12,33.33%,59.92
2020-01-18,0,11,0%,81.64
2020-01-17,3,10,30%,49.7
2020-01-16,1,6,16.67%,57.17
2020-01-15,2,8,25%,47.12
2020-01-14,2,16,12.5%,52.06
2020-01-13,1,14,7.14%,67.57
2020-01-12,3,21,14.29%,51.62
2020-01-11,3,13,23.08%,57
2020-01-10,2,16,12.5%,62.75
2020-01-09,3,16,18.75%,43.5
2020-01-08,2,23,8.7%,39.17
2020-01-07,1,18,5.56%,55.61
2020-01-06,2,16,12.5%,57.62
2020-01-05,1,16,6.25%,69.12
2020-01-04,3,11,27.27%,47.36
2020-01-03,1,17,5.88%,64.76
2020-01-02,2,13,15.38%,56.46
2020-01-01,1,9,11.11%,51.33
2019-12-31,1,11,9.09%,65.55
2019-12-30,2,17,11.76%,62.12
2019-12-29,0,11,0%,78.09
2019-12-28,1,5,20%,57.2
2019-12-27,2,6,33.33%,57
2019-12-26,0,4,0%,57
2019-12-25,0,7,0%,62.29
2019-12-24,0,7,0%,61.71
2019-12-23,0,3,0%,101.33
2019-12-22,0,5,0%,84
2019-12-21,0,5,0%,54
2019-12-20,0,5,0%,70.2
2019-12-19,0,11,0%,70.36
2019-12-18,0,3,0%,70
2019-12-17,1,12,8.33%,43.17
2019-12-16,1,8,12.5%,54
2019-12-15,0,6,0%,58.67
2019-12-14,3,6,50%,33.67
2019-12-13,2,8,25%,52.88
2019-12-12,2,10,20%,49.8
2019-12-11,0,7,0%,47.29
2019-12-10,1,17,5.88%,38.24
2019-12-09,3,9,33.33%,26
2019-12-08,5,11,45.45%,34.55
2019-12-07,1,10,10%,57.1
2019-12-06,3,16,18.75%,67.94
2019-12-05,2,13,15.38%,54.62
2019-12-04,1,11,9.09%,50.91
2019-12-03,2,12,16.67%,53.42
2019-12-02,0,11,0%,49.91
2019-12-01,2,10,20%,51.8
2019-11-30,2,12,16.67%,43.08
2019-11-29,1,10,10%,50.5
2019-11-28,0,9,0%,63.33
2019-11-27,1,12,8.33%,65.08
2019-11-26,0,12,0%,62.67
2019-11-25,4,11,36.36%,37.82
2019-11-24,2,12,16.67%,49.67
2019-11-23,4,20,20%,48
2019-11-22,4,12,33.33%,38.42
2019-11-21,3,9,33.33%,42.56
2019-11-20,1,17,5.88%,71.59
2019-11-19,0,14,0%,54.79
2019-11-18,1,12,8.33%,73.83
2019-11-17,5,14,35.71%,62.86
2019-11-16,3,11,27.27%,39.36
2019-11-15,1,9,11.11%,27.89
2019-11-14,2,13,15.38%,24.23
2019-11-13,0,12,0%,35.67
2019-11-12,0,23,0%,62.17
2019-11-11,1,11,9.09%,73.55
2019-11-10,0,5,0%,35.4
2019-11-09,4,9,44.44%,48.44
2019-11-08,2,14,14.29%,27.71
2019-11-07,0,6,0%,49.17
2019-11-06,4,17,23.53%,53.82
2019-11-05,3,26,11.54%,49.62
2019-11-04,2,20,10%,57.3
2019-11-03,5,21,23.81%,48.24
2019-11-02,0,25,0%,71.92
2019-11-01,3,17,17.65%,59.71
2019-10-31,1,14,7.14%,60.57
2019-10-30,1,42,2.38%,74.55
2019-10-29,3,41,7.32%,54.07
2019-10-28,2,26,7.69%,65.77
2019-10-27,1,25,4%,54.56
2019-10-26,1,23,4.35%,67
2019-10-25,2,32,6.25%,53.66
2019-10-24,2,34,5.88%,72.53
2019-10-23,2,39,5.13%,49.08
2019-10-22,1,5,20%,53.6
2019-10-21,0,5,0%,76.8
2019-10-20,2,9,22.22%,40.11
2019-10-19,2,11,18.18%,25.73
2019-10-18,0,4,0%,68.5
2019-10-17,2,10,20%,45.1
2019-10-16,1,6,16.67%,38.33
2019-10-15,1,16,6.25%,17
2019-10-14,1,13,7.69%,35.46
2019-10-13,0,4,0%,63.75
2019-10-12,0,4,0%,91.25
2019-10-11,1,8,12.5%,35.38
2019-10-10,1,13,7.69%,50.31
2019-10-09,3,13,23.08%,27.15
2019-10-08,3,9,33.33%,20.44
2019-10-07,4,6,66.67%,13.67
2019-10-06,2,6,33.33%,36
2019-10-05,5,9,55.56%,35.22
2019-10-04,4,9,44.44%,27.78