Page,Clicks,Impressions,CTR,Position
https://www.tatielou.co.uk/,1113,2879,38.66%,11.18
https://www.tatielou.co.uk/collections/wallpaper,173,1402,12.34%,2.71
https://www.tatielou.co.uk/pages/about-us,59,1475,4%,2.16
https://www.tatielou.co.uk/collections/all-products,26,994,2.62%,1.78
https://www.tatielou.co.uk/pages/wall-paper-guide,15,822,1.82%,28.78
https://www.tatielou.co.uk/collections/face-masks,15,468,3.21%,4.54
https://www.tatielou.co.uk/pages/workshops,13,1096,1.19%,68.17
https://www.tatielou.co.uk/collections/square-cushions,10,1886,0.53%,50.14
https://www.tatielou.co.uk/collections/wallpaper-samples,9,6731,0.13%,61.05
https://www.tatielou.co.uk/collections/lampshades,9,808,1.11%,33.26
https://www.tatielou.co.uk/collections/fabric,7,232,3.02%,4.84
https://www.tatielou.co.uk/collections/cushions,7,80,8.75%,27.36
https://www.tatielou.co.uk/products/copy-of-pachamama-berry-wallpaper,6,716,0.84%,38.05
https://www.tatielou.co.uk/pages/wholesale-trade,5,295,1.69%,56.86
https://www.tatielou.co.uk/collections/wallpaper/products/pachamama-forest-wallpaper,4,859,0.47%,45.46
https://www.tatielou.co.uk/products/face-mask,4,323,1.24%,60.14
https://www.tatielou.co.uk/collections/pachamama,4,254,1.57%,19.52
https://www.tatielou.co.uk/collections/art-prints,4,147,2.72%,16.06
https://www.tatielou.co.uk/products/pachamama-berry-velvet-fabric,4,69,5.8%,20.23
https://www.tatielou.co.uk/products/copy-of-nui-floral-indigo,3,605,0.5%,71.64
https://www.tatielou.co.uk/products/soltar-charcoal-wallpaper,3,497,0.6%,50.92
https://www.tatielou.co.uk/collections/all-products/products/pachamama-forest-wallpaper,3,176,1.7%,35.77
https://www.tatielou.co.uk/products/rust-and-pink-arashi-wallpaper,3,155,1.94%,25.87
https://www.tatielou.co.uk/products/pachamama-velvet-fabric,3,32,9.38%,25.88
https://www.tatielou.co.uk/products/pachamama-cushion-apple,3,26,11.54%,11.85
https://www.tatielou.co.uk/products/washbag-3,3,20,15%,34.3
https://www.tatielou.co.uk/collections/bolster-cushions,2,2092,0.1%,74.36
https://www.tatielou.co.uk/products/rainbow-ginkgo-blue-wallpaper-sample,2,915,0.22%,66.53
https://www.tatielou.co.uk/collections/pachamama-1,2,651,0.31%,57.35
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/ginko-blue-art-print,2,309,0.65%,60.91
https://www.tatielou.co.uk/collections/wallpaper/products/copy-of-pachamama-berry-wallpaper,2,170,1.18%,43.06
https://www.tatielou.co.uk/collections/pachamama/products/copy-of-pachamama-berry-wallpaper,2,132,1.52%,34.11
https://www.tatielou.co.uk/collections/wallpaper/products/pachamama-berry-wallpaper,2,121,1.65%,6.6
https://www.tatielou.co.uk/products/pachamama-cushion-indigo,2,111,1.8%,67.35
https://www.tatielou.co.uk/collections/rainbow-ginkgo,2,95,2.11%,22.42
https://www.tatielou.co.uk/collections/blankets,2,44,4.55%,7.48
https://www.tatielou.co.uk/products/shibori-indigo-rust-dyed-vest,2,32,6.25%,26.66
https://www.tatielou.co.uk/products/nui-burst-drum-lampshade,2,29,6.9%,57.45
https://www.tatielou.co.uk/products/ginkgo-black-wallpaper,1,2027,0.05%,72.47
https://www.tatielou.co.uk/products/gingko-blue-wallpaper,1,933,0.11%,79.56
https://www.tatielou.co.uk/products/pachamama-forest-wallpaper,1,923,0.11%,51.73
https://www.tatielou.co.uk/products/pachamama-peach-wallpaper,1,504,0.2%,48.21
https://www.tatielou.co.uk/products/pachamama-peach-wallpaper-sample,1,376,0.27%,49.04
https://www.tatielou.co.uk/collections/table-linen,1,353,0.28%,61.82
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/palm-green-art-print,1,307,0.33%,59.46
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/copy-of-leaf-art-print,1,288,0.35%,52.61
https://www.tatielou.co.uk/collections/all-products/products/pachamama-peach-wallpaper,1,248,0.4%,47.24
https://www.tatielou.co.uk/products/rainbow-ginkgo-blue-velvet-fabric-sample,1,245,0.41%,55.8
https://www.tatielou.co.uk/products/indigo-nui-tear-drop-fabric-sample,1,232,0.43%,25.37
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/copy-of-palm-pastel-art-print,1,192,0.52%,38.83
https://www.tatielou.co.uk/products/copy-of-leaf-art-print,1,188,0.53%,56.54
https://www.tatielou.co.uk/products/midnight-kumo-burst-bolster-cushion,1,176,0.57%,86.39
https://www.tatielou.co.uk/collections/tea-towels,1,153,0.65%,60.1
https://www.tatielou.co.uk/collections/shibori-nui,1,132,0.76%,39.71
https://www.tatielou.co.uk/blogs/news/top-drawer-and-spotted-award,1,131,0.76%,42.86
https://www.tatielou.co.uk/products/copy-of-shibori-cushions,1,109,0.92%,4.69
https://www.tatielou.co.uk/products/pachamama-coral-velvet-fabric,1,100,1%,43.94
https://www.tatielou.co.uk/products/copy-of-pink-floral-face-mask,1,95,1.05%,58.06
https://www.tatielou.co.uk/products/wallpaper,1,91,1.1%,10.97
https://www.tatielou.co.uk/products/leopard-apple-wallpaper-sample,1,91,1.1%,38.49
https://www.tatielou.co.uk/products/agnes-black-and-gold-velvet-fabric,1,87,1.15%,51.25
https://www.tatielou.co.uk/collections/shibori-itajime,1,87,1.15%,52.01
https://www.tatielou.co.uk/collections/linen-napkins,1,79,1.27%,52.71
https://www.tatielou.co.uk/products/pachamama-coral-velvet-fabric-sample,1,75,1.33%,51.35
https://www.tatielou.co.uk/collections/ginkgo,1,68,1.47%,3.5
https://www.tatielou.co.uk/products/ginkgo-black-lustre-velvet-cushion,1,54,1.85%,59.5
https://www.tatielou.co.uk/products/copy-of-dot-to-dot-shibori-pillow-case-single,1,51,1.96%,52.39
https://www.tatielou.co.uk/pages/contact-us,1,47,2.13%,58.26
https://www.tatielou.co.uk/collections/pachamama-cushions/products/pachamama-cushion-coral,1,45,2.22%,67.16
https://www.tatielou.co.uk/products/shibori-indigo-babygro-unisex,1,41,2.44%,44.9
https://www.tatielou.co.uk/collections/square-cushions/products/itajime-diamond-tangerine,1,38,2.63%,21.87
https://www.tatielou.co.uk/products/drum-lampshade-1,1,36,2.78%,22
https://www.tatielou.co.uk/collections/linen-table-runner,1,33,3.03%,58.52
https://www.tatielou.co.uk/products/fringed-lampshade,1,29,3.45%,11.03
https://www.tatielou.co.uk/collections/ginkgo-fabric,1,29,3.45%,23.48
https://www.tatielou.co.uk/collections/pachamama-cushions,1,26,3.85%,7.96
https://www.tatielou.co.uk/products/shibori-chevron-small-cushion-natural,1,26,3.85%,16.27
https://www.tatielou.co.uk/collections/samples-only,1,26,3.85%,42.81
https://www.tatielou.co.uk/products/nui-floral-indigo,1,24,4.17%,25
https://www.tatielou.co.uk/products/soltar-ink-fringed-parachute-lampshade,1,23,4.35%,27.35
https://www.tatielou.co.uk/products/blue-and-tangerine-nui-burst-fabric,1,19,5.26%,16.32
https://www.tatielou.co.uk/pages/delivery-returns,1,18,5.56%,15.78
https://www.tatielou.co.uk/products/rust-and-pink-arashi-wallpaper-sample,1,15,6.67%,14.73
https://www.tatielou.co.uk/products/arashi-multi-cushion,1,14,7.14%,11.71
https://www.tatielou.co.uk/collections/nui-collection,1,13,7.69%,21.23
https://www.tatielou.co.uk/products/blue-ginkgo-face-mask,1,13,7.69%,44.92
https://www.tatielou.co.uk/collections/new-collection-wallpaper-samples/products/pachamama-apple-wallpaper-sample,1,11,9.09%,6.55
https://www.tatielou.co.uk/products/margaux-dusk-wallpaper,1,11,9.09%,23.36
https://www.tatielou.co.uk/products/soltar-test,1,9,11.11%,1.56
https://www.tatielou.co.uk/products/rainbow-ginkgo-blue-velvet-fabric,1,9,11.11%,39.44
https://www.tatielou.co.uk/products/copy-of-face-mask,1,6,16.67%,2.33
https://www.tatielou.co.uk/collections/all-products/products/blue-and-tangerine-nui-burst-wallpaper,1,6,16.67%,26.67
https://www.tatielou.co.uk/products/pachamama-forest-fringed-parachute-lampshade-1,1,5,20%,8
https://www.tatielou.co.uk/products/leopard-berry-velvet-fabric-sample,1,5,20%,33.4
https://www.tatielou.co.uk/products/copy-of-copy-of-palm-pink-greetings-card,1,3,33.33%,4.33
https://www.tatielou.co.uk/products/rubber-plant-art-print,1,2,50%,5
https://www.tatielou.co.uk/collections/pachamama-cushions/products/pachamama-cushion-peach,0,895,0%,47.55
https://www.tatielou.co.uk/pages/how-much-wallpaper-do-you-need,0,718,0%,55.32
https://www.tatielou.co.uk/products/agnes-black-and-gold-wallpaper,0,331,0%,49.75
https://www.tatielou.co.uk/collections/ginkgo-fabric/products/rainbow-ginkgo-blue-velvet-fabric-sample,0,230,0%,50.24
https://www.tatielou.co.uk/collections/wallpaper-samples/products/pachamama-forest-wallpaper-sample,0,218,0%,63.21
https://www.tatielou.co.uk/products/leopard-apple-wallpaper,0,209,0%,41.32
https://www.tatielou.co.uk/collections/fabric/products/indigo-nui-floral-fabric,0,200,0%,39.84
https://www.tatielou.co.uk/collections/wallpaper-samples/products/agnes-black-and-gold-wallpaper-sample-1,0,198,0%,54.52
https://www.tatielou.co.uk/products/indigo-kumo-butterfly-cushion,0,194,0%,72.56
https://www.tatielou.co.uk/products/agnes-green-and-pink-wallpaper,0,180,0%,53.23
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/palm-pastel-art-print,0,179,0%,50.75
https://www.tatielou.co.uk/products/ginko-blue-art-print,0,164,0%,61.55
https://www.tatielou.co.uk/products/itajime-rows-fuschia-and-indigo,0,140,0%,43.11
https://www.tatielou.co.uk/products/soltar-charcoal-wallpaper-sample,0,134,0%,47.94
https://www.tatielou.co.uk/pages/events,0,129,0%,19.29
https://www.tatielou.co.uk/products/indigo-nui-tear-drop-wallpaper-sample,0,120,0%,30.07
https://www.tatielou.co.uk/collections/wash-bags,0,117,0%,52.91
https://www.tatielou.co.uk/collections/art-prints/products/fuschia-and-indigo-itajime-row-art-print,0,103,0%,80.37
https://www.tatielou.co.uk/products/pachamama-forest-wallpaper-sample,0,101,0%,36.37
https://www.tatielou.co.uk/collections/shibori-arashi,0,101,0%,42.78
https://www.tatielou.co.uk/products/arashi-shibori-art-print,0,89,0%,53.64
https://www.tatielou.co.uk/products/indigo-nui-floral-fabric,0,88,0%,46.7
https://www.tatielou.co.uk/products/indigo-itajime-cross-wallpaper-sample,0,85,0%,45.49
https://www.tatielou.co.uk/products/leopard-peach-wallpaper,0,85,0%,58.21
https://www.tatielou.co.uk/products/nui-burst,0,84,0%,30.52
https://www.tatielou.co.uk/collections/ginkgo-cushions/products/gingko-salmon,0,78,0%,66.06
https://www.tatielou.co.uk/collections/all-products/products/indigo-itajime-diamond-wallpaper-sample,0,78,0%,79.35
https://www.tatielou.co.uk/products/fuschia-and-indigo-itajime-row-art-print,0,73,0%,73.32
https://www.tatielou.co.uk/collections/greetings-cards,0,72,0%,73.75
https://www.tatielou.co.uk/products/teal-itajime-diamond-fringed-drum-lampshade,0,71,0%,61.46
https://www.tatielou.co.uk/collections/wallpaper/products/indigo-nui-wallpaper,0,69,0%,7.19
https://www.tatielou.co.uk/products/pachamama-apple-wallpaper-sample,0,65,0%,43.22
https://www.tatielou.co.uk/products/indigo-nui-tear-drop-fabric,0,63,0%,6.38
https://www.tatielou.co.uk/collections/art-prints/products/copy-of-arashi-shibori-art-print,0,61,0%,77.89
https://www.tatielou.co.uk/pages/bespoke-services,0,57,0%,17.95
https://www.tatielou.co.uk/products/kumo-shibori-indigo-babygrow,0,57,0%,50.12
https://www.tatielou.co.uk/collections/pachamama-art-prints,0,55,0%,17.73
https://www.tatielou.co.uk/products/indigo-nui-floral-fabric-sample,0,55,0%,23.47
https://www.tatielou.co.uk/collections/fabric-samples,0,55,0%,24.11
https://www.tatielou.co.uk/collections/pachamama/products/pachamama-peach-wallpaper-sample,0,52,0%,84.21
https://www.tatielou.co.uk/collections/pachamama-cushions/products/pachamama-cushion-damson,0,51,0%,33.75
https://www.tatielou.co.uk/collections/fabric-samples/products/rainbow-ginkgo-blue-velvet-fabric-sample,0,49,0%,69.29
https://www.tatielou.co.uk/a/contact,0,48,0%,10.75
https://www.tatielou.co.uk/products/copy-of-palm-pastel-art-print,0,47,0%,34.89
https://www.tatielou.co.uk/collections,0,46,0%,14.02
https://www.tatielou.co.uk/products/leopard-peach-wallpaper-sample,0,45,0%,44.2
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/leaf-art-print,0,40,0%,50.45
https://www.tatielou.co.uk/collections/pachamama-art-prints/products/ginko-green-art-print,0,39,0%,37.77
https://www.tatielou.co.uk/products/palm-green-art-print,0,39,0%,59.92
https://www.tatielou.co.uk/collections/wallpaper/products/pachamama-apple-wallpaper,0,37,0%,71.65
https://www.tatielou.co.uk/products/kumo-shibori-emerald-and-indigo-babygrow,0,36,0%,46.22
https://www.tatielou.co.uk/pages/press,0,35,0%,8.14
https://www.tatielou.co.uk/collections/art-prints/products/leaf-art-print,0,34,0%,33.79
https://www.tatielou.co.uk/collections/wallpaper/products/agnes-black-and-gold-wallpaper,0,34,0%,47.56
https://www.tatielou.co.uk/products/palm-pastel-art-print,0,32,0%,38.25
https://www.tatielou.co.uk/products/palm-bright-tea-towel,0,30,0%,46.2
https://www.tatielou.co.uk/products/pachamama-berry-wallpaper,0,29,0%,9.69
https://www.tatielou.co.uk/collections/fabric/products/indigo-itajime-row-fabric-sample,0,29,0%,59.69
https://www.tatielou.co.uk/products/kumoburst-indigo,0,29,0%,75.48
https://www.tatielou.co.uk/products/itajime-diamond-inidgp-beight,0,28,0%,9.29
https://www.tatielou.co.uk/products/ginko-green-art-print,0,28,0%,46.64
https://www.tatielou.co.uk/collections/soltar,0,27,0%,17.22
https://www.tatielou.co.uk/products/rust-and-pink-arashi-fabric-sample,0,27,0%,34.3
https://www.tatielou.co.uk/collections/fabric/products/indigo-nui-floral-fabric-sample,0,27,0%,68.78
https://www.tatielou.co.uk/products/pachamama-cushion-peach,0,26,0%,63.42
https://www.tatielou.co.uk/collections/pachamama/products/pachamama-coral-wallpaper-sample,0,25,0%,39.4
https://www.tatielou.co.uk/collections/bed-linen/products/dot-to-dot-shibori-pillow-case-single,0,25,0%,44.76
https://www.tatielou.co.uk/pages/process,0,24,0%,3.25
https://www.tatielou.co.uk/products/washbag-2,0,24,0%,23.38
https://www.tatielou.co.uk/collections/fabric/products/rust-and-pink-arashi-fabric-sample,0,23,0%,28.39
https://www.tatielou.co.uk/collections/kids/products/shibori-cerise-and-indigo-kids-short-sleeve-t-shirt,0,23,0%,35.52
https://www.tatielou.co.uk/collections/fabric-samples/products/rust-and-pink-arashi-fabric-sample,0,21,0%,18.43
https://www.tatielou.co.uk/collections/agnes,0,21,0%,41.14
https://www.tatielou.co.uk/collections/pachamama-cushions/products/pachamama-cushion-indigo,0,21,0%,73.38
https://www.tatielou.co.uk/products/franny-spice-wallpaper,0,20,0%,42
https://www.tatielou.co.uk/products/rubber-plant-art-print-pink,0,20,0%,42.35
https://www.tatielou.co.uk/products/dot-to-dot-shibori-pillow-case-single,0,20,0%,47.2
https://www.tatielou.co.uk/blogs/news,0,19,0%,12.53
https://www.tatielou.co.uk/products/shibori-chevron-forever-tote-bag,0,19,0%,14.26
https://www.tatielou.co.uk/collections/pachamama-cushions/products/pachamama-cushion-forest,0,18,0%,11.67
https://www.tatielou.co.uk/products/kanoko-indigo,0,18,0%,16
https://www.tatielou.co.uk/products/ginkgo-black-velvet-fabric-sample,0,18,0%,33.22
https://www.tatielou.co.uk/account/login,0,17,0%,6
https://www.tatielou.co.uk/products/shibori-stripe-indigo-babygrow,0,17,0%,12.06
https://www.tatielou.co.uk/collections/wallpaper/products/blue-and-tangerine-nui-burst-wallpaper,0,17,0%,28.06
https://www.tatielou.co.uk/collections/wallpaper/products/pachamama-peach-wallpaper,0,17,0%,40.18
https://www.tatielou.co.uk/products/leopard-peach-velvet-fabric,0,17,0%,47
https://www.tatielou.co.uk/products/pompom-cushion,0,17,0%,50.71
https://www.tatielou.co.uk/collections/wallpaper-samples/products/indigo-itajime-row-wallpaper-sample,0,17,0%,55.53
https://www.tatielou.co.uk/collections/linen-place-mats,0,17,0%,56.76
https://www.tatielou.co.uk/collections/linen-table-cloth,0,17,0%,70.41
https://www.tatielou.co.uk/products/shibori-block-scarf,0,16,0%,9.06
https://www.tatielou.co.uk/products/shibori-grey-and-indigo-kids-short-sleeve-t-shirt,0,16,0%,24.81
